reference,transform,severity,severity_value,top_score,hit_top1,hit_topk,rank
blues.00002,pitch,-2st,-2,0.937632,1,1,1
blues.00002,pitch,-1st,-1,0.960368,1,1,1
blues.00002,pitch,+1st,1,0.97615,1,1,1
blues.00002,pitch,+2st,2,0.97505,1,1,1
blues.00002,pitch,+3st,3,0.969275,1,1,1
blues.00002,pitch,+4st,4,0.962514,1,1,1
blues.00002,pitch,+5st,5,0.956534,1,1,1
blues.00002,pitch,+6st,6,0.952456,1,1,1
blues.00002,tempo,0.70x,0.7,0.986647,1,1,1
blues.00002,tempo,0.75x,0.75,0.985395,1,1,1
blues.00002,tempo,0.80x,0.8,0.980209,1,1,1
blues.00002,tempo,0.85x,0.85,0.979806,1,1,1
blues.00002,tempo,0.90x,0.9,0.973373,1,1,1
blues.00002,tempo,0.95x,0.95,0.978724,1,1,1
blues.00002,tempo,1.05x,1.05,0.980642,1,1,1
blues.00002,tempo,1.10x,1.1,0.979746,1,1,1
blues.00002,tempo,1.15x,1.15,0.977399,1,1,1
blues.00002,tempo,1.20x,1.2,0.980803,1,1,1
blues.00002,tempo,1.25x,1.25,0.980977,1,1,1
blues.00002,tempo,1.30x,1.3,0.980352,1,1,1
blues.00002,noise,SNR5dB,5,0.561192,1,1,1
blues.00002,noise,SNR8dB,8,0.795337,1,1,1
blues.00002,noise,SNR10dB,10,0.837538,1,1,1
blues.00002,noise,SNR12dB,12,0.894922,1,1,1
blues.00002,noise,SNR15dB,15,0.925232,1,1,1
blues.00002,noise,SNR20dB,20,0.959131,1,1,1
blues.00002,noise,SNR25dB,25,0.971914,1,1,1
blues.00002,noise,SNR30dB,30,0.979264,1,1,1
blues.00002,crop,0.5s,0.5,0.978696,1,1,1
blues.00002,crop,1.0s,1.0,0.978696,1,1,1
blues.00002,crop,1.5s,1.5,0.978696,1,1,1
blues.00002,crop,2.0s,2.0,0.978696,1,1,1
blues.00002,crop,2.5s,2.5,0.978696,1,1,1
blues.00002,crop,3.0s,3.0,0.978696,1,1,1
blues.00002,crop,3.5s,3.5,0.991069,1,1,1
blues.00002,lossy,32kbps,32,0.96495,1,1,1
blues.00002,lossy,48kbps,48,0.964944,1,1,1
blues.00002,lossy,64kbps,64,0.966891,1,1,1
blues.00002,lossy,80kbps,80,0.966784,1,1,1
blues.00002,lossy,96kbps,96,0.967219,1,1,1
blues.00002,lossy,128kbps,128,0.967194,1,1,1
blues.00002,lossy,192kbps,192,0.967193,1,1,1
blues.00003,pitch,-6st,-6,0.989305,1,1,1
blues.00003,pitch,-5st,-5,0.990838,1,1,1
blues.00003,pitch,-4st,-4,0.991477,1,1,1
blues.00003,pitch,-3st,-3,0.994829,1,1,1
blues.00003,pitch,-2st,-2,0.996214,1,1,1
blues.00003,pitch,-1st,-1,0.997137,1,1,1
blues.00003,pitch,+1st,1,0.998292,1,1,1
blues.00003,pitch,+2st,2,0.997226,1,1,1
blues.00003,pitch,+3st,3,0.994802,1,1,1
blues.00003,pitch,+4st,4,0.993878,1,1,1
blues.00003,pitch,+5st,5,0.992305,1,1,1
blues.00003,pitch,+6st,6,0.991623,1,1,1
blues.00003,tempo,0.70x,0.7,0.996012,1,1,1
blues.00003,tempo,0.75x,0.75,0.992586,1,1,1
blues.00003,tempo,0.80x,0.8,0.996235,1,1,1
blues.00003,tempo,0.85x,0.85,0.997918,1,1,1
blues.00003,tempo,0.90x,0.9,0.998438,1,1,1
blues.00003,tempo,0.95x,0.95,0.998274,1,1,1
blues.00003,tempo,1.05x,1.05,0.998448,1,1,1
blues.00003,tempo,1.10x,1.1,0.997914,1,1,1
blues.00003,tempo,1.15x,1.15,0.998196,1,1,1
blues.00003,tempo,1.20x,1.2,0.998107,1,1,1
blues.00003,tempo,1.25x,1.25,0.998066,1,1,1
blues.00003,tempo,1.30x,1.3,0.997571,1,1,1
blues.00003,noise,SNR5dB,5,0.270619,1,1,1
blues.00003,noise,SNR8dB,8,0.596449,1,1,1
blues.00003,noise,SNR10dB,10,0.777057,1,1,1
blues.00003,noise,SNR12dB,12,0.878292,1,1,1
blues.00003,noise,SNR15dB,15,0.946593,1,1,1
blues.00003,noise,SNR20dB,20,0.97304,1,1,1
blues.00003,noise,SNR25dB,25,0.983107,1,1,1
blues.00003,noise,SNR30dB,30,0.989148,1,1,1
blues.00003,crop,0.5s,0.5,0.99866,1,1,1
blues.00003,crop,1.0s,1.0,0.998699,1,1,1
blues.00003,crop,1.5s,1.5,0.998699,1,1,1
blues.00003,crop,2.0s,2.0,0.998699,1,1,1
blues.00003,crop,2.5s,2.5,0.998699,1,1,1
blues.00003,crop,3.0s,3.0,0.998699,1,1,1
blues.00003,crop,3.5s,3.5,0.994984,1,1,1
blues.00003,lossy,32kbps,32,0.997875,1,1,1
blues.00003,lossy,48kbps,48,0.998,1,1,1
blues.00003,lossy,64kbps,64,0.998048,1,1,1
blues.00003,lossy,80kbps,80,0.998089,1,1,1
blues.00003,lossy,96kbps,96,0.998081,1,1,1
blues.00003,lossy,128kbps,128,0.99808,1,1,1
blues.00003,lossy,192kbps,192,0.998081,1,1,1
blues.00004,pitch,-6st,-6,0.949588,1,1,1
blues.00004,pitch,-5st,-5,0.951829,1,1,1
blues.00004,pitch,-4st,-4,0.957437,1,1,1
blues.00004,pitch,-3st,-3,0.961794,1,1,1
blues.00004,pitch,-2st,-2,0.977265,1,1,1
blues.00004,pitch,-1st,-1,0.985724,1,1,1
blues.00004,pitch,+1st,1,0.989305,1,1,1
blues.00004,pitch,+2st,2,0.984651,1,1,1
blues.00004,pitch,+3st,3,0.980036,1,1,1
blues.00004,pitch,+4st,4,0.977198,1,1,1
blues.00004,pitch,+5st,5,0.977508,1,1,1
blues.00004,pitch,+6st,6,0.974644,1,1,1
blues.00004,tempo,0.70x,0.7,0.994315,1,1,1
blues.00004,tempo,0.75x,0.75,0.994338,1,1,1
blues.00004,tempo,0.80x,0.8,0.994476,1,1,1
blues.00004,tempo,0.85x,0.85,0.994569,1,1,1
blues.00004,tempo,0.90x,0.9,0.994993,1,1,1
blues.00004,tempo,0.95x,0.95,0.994062,1,1,1
blues.00004,tempo,1.05x,1.05,0.995067,1,1,1
